model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
Classical_ESN,ARMA_1_2_stochastic,0.022211967857690657,0.018858359282570198,0.8490179439927783,0.9,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.3620434956208208,0.3923319366431875,1.0836596745659774,0.1,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.12793066783214044,0.18139101260092647,1.4178852942355626,0.3,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.03411482963630508,0.06241114786212897,1.829443339670408,0.5,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.033266746599718365,0.05459224149386902,1.6410454004038735,0.7,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.019855080604726582,0.013199123719917938,0.6647731118641661,0.9,1e-08,10,,,2025,100.0,0.9,0.2
Classical_ESN,ARMA_1_2_stochastic,0.6168400042384903,7.016078364222981,11.374227216155615,0.1,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.023325339722183758,0.011600401789619194,0.49733045382342433,0.3,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.018595442521452125,0.015297590224575518,0.8226526584096007,0.5,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.010137366812595871,0.0025186602220814633,0.248453101149697,0.7,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.00916553876602404,0.004117727684881791,0.4492619353862641,0.9,1e-08,10,,,2025,100.0,1.1,0.1
Classical_ESN,ARMA_1_2_stochastic,0.24400003286934635,0.3866426368328313,1.584600757164099,0.1,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.037109681809455744,0.027221660362048462,0.733546046064783,0.3,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.016395339648571736,0.007392475592635678,0.45088883494278,0.5,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.012915771040180277,0.004238623545442935,0.32817425550954743,0.7,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,0.009891284032544837,0.0012985045395482626,0.13127765164521138,0.9,1e-08,10,,,2025,100.0,1.1,0.2
Classical_ESN,ARMA_1_2_stochastic,2.0137852564743346,5.653629958363166,2.8074641723523914,0.1,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.02225428656739143,0.030360843922784393,1.3642694781899352,0.3,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.010415389213779068,0.00395570068331976,0.379793841797727,0.5,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.010199678349551539,0.0026488161050746838,0.25969604278659897,0.7,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.00867328855393072,0.0013041333190462721,0.1503620352231036,0.9,1e-08,10,,,2025,100.0,1.25,0.1
Classical_ESN,ARMA_1_2_stochastic,0.3536000730539374,95.49383757599676,270.06170205578644,0.1,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.026294714240769828,0.05310084942307554,2.0194495721403554,0.3,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.01146099437866346,0.0034620096144348496,0.3020688694237521,0.5,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.010372772737636714,0.002233020990427579,0.21527715365104397,0.7,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.008819147482931706,0.0007652875081455209,0.08677567867264196,0.9,1e-08,10,,,2025,100.0,1.25,0.2
Classical_ESN,ARMA_1_2_stochastic,0.7670752654983334,0.6929137983548314,0.9033191780791905,0.1,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.24790019082984624,0.24365685056293712,0.9828828680901595,0.3,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.2883949645326383,1.227863528534546,4.257576169973612,0.5,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.14432059418688045,0.1299414184075738,0.9003664316910511,0.7,1e-08,10,,,2025,150.0,0.9,0.1
Classical_ESN,ARMA_1_2_stochastic,0.09074968781940963,0.05759015012686904,0.6346043882979794,0.9,1e-08,10,,,2025,150.0,0.9,0.1
