model_type,data_profile,median_mse,std_dev_mse,cv_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,NARMA5_Chaotic,0.012565422141351415,0.00018234854912478268,0.014511931797714442,0.9,1e-08,10,4.0,0.0,2025,,,
Classical_ESN,NARMA5_Chaotic,0.013935638828265286,0.008969871900858564,0.6436642059541046,0.1,1e-08,10,,,2025,50.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.013152638299798805,0.0008524487351987933,0.06481199556835933,0.3,1e-08,10,,,2025,50.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.01273045596936461,0.0006878119836751661,0.0540288568870087,0.5,1e-08,10,,,2025,50.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.012562638782672025,0.00043434200157791054,0.03457410573461762,0.7,1e-08,10,,,2025,50.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.012246224431840445,0.00013821875660931875,0.011286642456914886,0.9,1e-08,10,,,2025,50.0,0.9,0.1
Classical_ESN,NARMA5_Chaotic,0.014629197384145379,0.002267399844939786,0.1549914042035632,0.1,1e-08,10,,,2025,50.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.013093120352357119,0.0009812246291325617,0.07494200028153827,0.3,1e-08,10,,,2025,50.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.0127094465965364,0.00042171278541304556,0.033181050190491494,0.5,1e-08,10,,,2025,50.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.012279830210611532,0.00040662676258746815,0.03311338639162001,0.7,1e-08,10,,,2025,50.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.012165180796859664,0.0005302788280236398,0.04358988467812387,0.9,1e-08,10,,,2025,50.0,0.9,0.2
Classical_ESN,NARMA5_Chaotic,0.012822090902903028,0.0011036414225049167,0.08607343613942428,0.1,1e-08,10,,,2025,50.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.012540957897729197,0.0003921136245288725,0.031266640692564074,0.3,1e-08,10,,,2025,50.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.012348045463949568,0.00022424305081169524,0.01816020612058633,0.5,1e-08,10,,,2025,50.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.012172649528987094,0.00012564746008416992,0.010322112682613746,0.7,1e-08,10,,,2025,50.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.01207119499013278,0.0001458794678989416,0.012084923490854566,0.9,1e-08,10,,,2025,50.0,1.1,0.1
Classical_ESN,NARMA5_Chaotic,0.012688964142578312,0.00171163070336045,0.13489128695832678,0.1,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.012629371159675194,0.0005838951426955578,0.046233112901131544,0.3,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.012255128698843659,0.00024354946783480144,0.019873268883563965,0.5,1e-08,10,,,2025,50.0,1.1,0.2
Classical_ESN,NARMA5_Chaotic,0.012230907257463553,0.00020458145538480778,0.016726596897377988,0.7,1e-08,10,,,2025,50.0,1.1,0.2
