data_profile,leakage_rate,lambda_reg,window_size,n_layers,lag,beta,gamma,n,tau,dt,T,median_mse_one_step_ahead,median_mse_autonomous,n_points,ar_coeffs,ma_coeffs
Complex_Chaos_(tau=30),0.1,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026867542457137206,15854.364650847087,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002605370652567674,6762.890473097193,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026122870077044703,2491.9863298799187,,,
Complex_Chaos_(tau=30),0.1,1e-08,6,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0026948639814540665,2623.175672671827,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0024701099821501952,12396.420274448135,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00242047869375001,4922.73135515541,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002387660346811912,2298.2783578909853,,,
Complex_Chaos_(tau=30),0.1,1e-08,7,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002411030596287989,1969.386586473791,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002256864429263618,10380.736797566558,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0022207651276905625,4351.007445917087,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002085580003291665,3769.5542307182254,,,
Complex_Chaos_(tau=30),0.1,1e-08,8,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.002100350123572157,2242.258756518239,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000340730700758511,640.1850644158097,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032946225684151923,66.67693994737729,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0003299628459458104,56.3583448036411,,,
Complex_Chaos_(tau=30),0.5,1e-08,4,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032138310554088854,65.20841692686125,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032610985777479194,173.5249641467651,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00030674075806424875,79.24164398438546,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0003157501120714399,49.61822639533857,,,
Complex_Chaos_(tau=30),0.5,1e-08,5,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00031221725422828404,45.07586766070693,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.000305217306724753,560.1970489187701,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00028921769956566183,117.09287442589672,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,3,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002930797268602011,55.58088154108558,,,
Complex_Chaos_(tau=30),0.5,1e-08,6,4,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00029774923172506,73.76451562113243,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,1,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.00032128115598974844,840.8308541252378,,,
Complex_Chaos_(tau=30),0.5,1e-08,7,2,0,0.2,0.1,10.0,30.0,1.0,2000.0,0.0002763152274338099,190.8721615902052,,,
